uuid,Members,Answers,Fully specified name:en,Fully specified name:pt,Short name:en,Short name:pt,Description:en,Description:pt,Data class,Data type,Units,Normal high,Normal low,_version:1,_order:1002
b502c862-924f-11e9-bc42-526af7764f64,,,Apss_Disclosure_Diagnosis_results_child_adolescent_No,Apss_Disclosure_Diagnosis_results_child_adolescent_No,No,Não,,,Misc,N/A,,,,,
b502cb46-924f-11e9-bc42-526af7764f64,,,Apss_Disclosure_Diagnosis_results_child_adolescent_Partial,Apss_Disclosure_Diagnosis_results_child_adolescent_Partial,Partial,Parcial,,,Misc,N/A,,,,,
b502ccb8-924f-11e9-bc42-526af7764f64,,,Apss_Disclosure_Diagnosis_results_child_adolescent_Total,Apss_Disclosure_Diagnosis_results_child_adolescent_Total,Total,Total,,,Misc,N/A,,,,,
b502ce5c-924f-11e9-bc42-526af7764f64,,Apss_Disclosure_Diagnosis_results_child_adolescent_No;Apss_Disclosure_Diagnosis_results_child_adolescent_Partial;Apss_Disclosure_Diagnosis_results_child_adolescent_Total,Apss_Disclosure_Diagnosis_results_child_adolescent,Apss_Disclosure_Diagnosis_results_child_adolescent,Disclosure of the Diagnosis results to the child/adolescent,Estado de Revelação do Diagnóstico à criança/ adolescente,,,Misc,Coded,,,,,
b502cfa6-924f-11e9-bc42-526af7764f64,,,Apss_Pre_TARV_counselling_Yes,Apss_Pre_TARV_counselling_Yes,Yes,Sim,,,Misc,N/A,,,,,
b502d0dc-924f-11e9-bc42-526af7764f64,,,Apss_Pre_TARV_counselling_NO,Apss_Pre_TARV_counselling_NO,No,Não,,,Misc,N/A,,,,,
b502d208-924f-11e9-bc42-526af7764f64,,Apss_Pre_TARV_counselling_Yes;Apss_Pre_TARV_counselling_NO,Apss_Pre_TARV_counselling,Apss_Pre_TARV_counselling,Pre-TARV counselling,Aconselhamento Pré-TARV,,,Misc,Coded,,,,,
b502d582-924f-11e9-bc42-526af7764f64,,,Apss_Pre_TARV_counselling_comments,Apss_Pre_TARV_counselling_comments,Comments,Comentário,,,Misc,Text,,,,,
b502d6c2-924f-11e9-bc42-526af7764f64,,,Apss_Psychosocial_factors_affecting_adherence_Yes,Apss_Psychosocial_factors_affecting_adherence_Yes,Yes,Sim,,,Misc,N/A,,,,,
b502d7e4-924f-11e9-bc42-526af7764f64,,,Apss_Psychosocial_factors_affecting_adherence_No,Apss_Psychosocial_factors_affecting_adherence_No,No,Não,,,Misc,N/A,,,,,
b502d91a-924f-11e9-bc42-526af7764f64,,Apss_Psychosocial_factors_affecting_adherence_Yes;Apss_Psychosocial_factors_affecting_adherence_No,Apss_Psychosocial_factors_affecting_adherence,Apss_Psychosocial_factors_affecting_adherence,Psychosocial factors affecting adherence,Factores Psicossociais que afectam a adesão,,,Misc,Coded,,,,,
b502da46-924f-11e9-bc42-526af7764f64,,,Apss_Psychosocial_factors_Alcohol_Drug_Abuse,Apss_Psychosocial_factors_Alcohol_Drug_Abuse,Alcohol and Drug Abuse,Uso abusivo de álcool ou drogas,,,Misc,N/A,,,,,
b502db68-924f-11e9-bc42-526af7764f64,,,Apss_Psychosocial_factors_Cultural_Religious_Traditional_Aspects,Apss_Psychosocial_factors_Cultural_Religious_Traditional_Aspects,"Cultural, Religious and Traditional Aspects",Aspectos culturais e religiosos ou tradicionais,,,Misc,N/A,,,,,
b502dc8a-924f-11e9-bc42-526af7764f64,,,Apss_Psychosocial_factors_Denial_of_positive_result,Apss_Psychosocial_factors_Denial_of_positive_result,Denial of positive result,Recusa resultado positivo,,,Misc,N/A,,,,,
b502e0f4-924f-11e9-bc42-526af7764f64,,,Apss_Psychosocial_factors_Feels_better,Apss_Psychosocial_factors_Feels_better,Feels better,Sente-se melhor,,,Misc,N/A,,,,,
b502e252-924f-11e9-bc42-526af7764f64,,,Apss_Psychosocial_factors_Feels_too_sick_ill,Apss_Psychosocial_factors_Feels_too_sick_ill,Feels too sick ill,Sente-se doente demais,,,Misc,N/A,,,,,
b502e37e-924f-11e9-bc42-526af7764f64,,,Apss_Psychosocial_factors_Gender_Based_Violence,Apss_Psychosocial_factors_Gender_Based_Violence,Gender Based Violence,Violência baseada no género,,,Misc,N/A,,,,,
b502e4a0-924f-11e9-bc42-526af7764f64,,,Apss_Psychosocial_factors_Hard_disclose_to_partner_family,Apss_Psychosocial_factors_Hard_disclose_to_partner_family,Hard to disclose to partner /family,Dificuldade para revelar a parceiro/família,,,Misc,N/A,,,,,
