uuid,Members,Answers,Fully specified name:en,Fully specified name:pt,Short name:en,Short name:pt,Description:en,Description:pt,Data class,Data type,Units,Normal high,Normal low,_version:1,_order:1002,
b502f95e-924f-11e9-bc42-526af7764f64,,,Apss_Positive_prevention_Alcohol_other_Drugs_consumption_Yes,,Yes,Sim,,,Misc,N/A,,,,,,
b502fa80-924f-11e9-bc42-526af7764f64,,,Apss_Positive_prevention_Alcohol_other_Drugs_consumption_No,,No,Não,,,Misc,N/A,,,,,,
b502fba2-924f-11e9-bc42-526af7764f64,,Apss_Positive_prevention_Alcohol_other_Drugs_consumption_Yes;Apss_Positive_prevention_Alcohol_other_Drugs_consumption_No,Apss_Positive_prevention_Alcohol_other_Drugs_consumption,,Alcohol and other Drugs consumption,Consumo de álcool e outras drogas,,,Misc,Coded,,,,,,
b502ff08-924f-11e9-bc42-526af7764f64,,,Apss_Positive_prevention_Disclosure_HIV_status_partner_encouragement_test_Yes,,Yes,Sim,,,Misc,N/A,,,,,,
b5030052-924f-11e9-bc42-526af7764f64,,,Apss_Positive_prevention_Disclosure_HIV_status_partner_encouragement_test_No,,No,Não,,,Misc,N/A,,,,,,
b5030188-924f-11e9-bc42-526af7764f64,,Apss_Positive_prevention_Disclosure_HIV_status_partner_encouragement_test_Yes;Apss_Positive_prevention_Disclosure_HIV_status_partner_encouragement_test_No,Apss_Positive_prevention_Disclosure_HIV_status_partner_encouragement_test,,Disclosure of HIV status to partner and encouragement to test,Revelação do seroestado a parceiro/a e convite para testagem,,,Misc,Coded,,,,,,
b50302aa-924f-11e9-bc42-526af7764f64,,,Apss_Positive_prevention_Family_Planning_Yes,,Yes,Sim,,,Misc,N/A,,,,,,
b50303cc-924f-11e9-bc42-526af7764f64,,,Apss_Positive_prevention_Family_Planning_No,,No,Não,,,Misc,N/A,,,,,,
b50304f8-924f-11e9-bc42-526af7764f64,,Apss_Positive_prevention_Family_Planning_Yes;Apss_Positive_prevention_Family_Planning_No,Apss_Positive_prevention_Family_Planning,,"Family Planning (FP; Pregnant-Safe Pregnancy, PMTCT)",Planeamento Familiar (PF; Grávida - Gravidez segura; PTV),,,Misc,Coded,,,,,,
b50308cc-924f-11e9-bc42-526af7764f64,,,Apss_Positive_prevention_Need_community_support_Yes,,Yes,Sim,,,Misc,N/A,,,,,,
b5030a2a-924f-11e9-bc42-526af7764f64,,,Apss_Positive_prevention_Need_community_support_No,,No,Não,,,Misc,N/A,,,,,,
b5030b56-924f-11e9-bc42-526af7764f64,,Apss_Positive_prevention_Need_community_support_Yes;Apss_Positive_prevention_Need_community_support_No,Apss_Positive_prevention_Need_community_support,,Need of community support,Necessidade de apoio comunitário,,,Misc,Coded,,,,,,
b5030c78-924f-11e9-bc42-526af7764f64,,,Apss_Positive_prevention_Sexual_behavior_Yes,,Yes,Sim,,,Misc,N/A,,,,,,
b5030e1c-924f-11e9-bc42-526af7764f64,,,Apss_Positive_prevention_Sexual_behavior_No,,No,Não,,,Misc,N/A,,,,,,
b5030f5c-924f-11e9-bc42-526af7764f64,,Apss_Positive_prevention_Sexual_behavior_Yes;Apss_Positive_prevention_Sexual_behavior_No,Apss_Positive_prevention_Sexual_behavior,,Sexual behavior – safe sex and provision of condoms,Comportamento sexual - sexo seguro e oferta de preservativos,,,Misc,Coded,,,,,,
b503107e-924f-11e9-bc42-526af7764f64,,,Apss_Positive_prevention_Sexually_Transmitted_Infections_Yes,,Yes,Sim,,,Misc,N/A,,,,,,
b50313d0-924f-11e9-bc42-526af7764f64,,,Apss_Positive_prevention_Sexually_Transmitted_Infections_No,,No,Não,,,Misc,N/A,,,,,,
b5031506-924f-11e9-bc42-526af7764f64,,Apss_Positive_prevention_Sexually_Transmitted_Infections_Yes;Apss_Positive_prevention_Sexually_Transmitted_Infections_No,Apss_Positive_prevention_Sexually_Transmitted_Infections,,Sexually Transmitted Infections,Infecções de Transmissão sexual,,,Misc,Coded,,,,,,
b503163c-924f-11e9-bc42-526af7764f64,,,Apss_Positive_prevention_importance_adherence_Yes,,Yes,Sim,,,Misc,N/A,,,,,,
b503175e-924f-11e9-bc42-526af7764f64,,,Apss_Positive_prevention_importance_adherence_No,,No,Não,,,Misc,N/A,,,,,,
b5031880-924f-11e9-bc42-526af7764f64,,Apss_Positive_prevention_importance_adherence_Yes;Apss_Positive_prevention_importance_adherence_No,Apss_Positive_prevention_importance_adherence,,The importance of adherence to Pre-TARV and TARV care,Importância da adesão aos cuidados Pré-TARV e TARV,,,Misc,Coded,,,,,,
