uuid,Members,Answers,Fully specified name:en,Fully specified name:pt,Short name:en,Short name:pt,Description:en,Description:pt,Data class,Data type,Units,Normal high,Normal low,_version:1,_order:1008
5b8ed3a9-27c4-4bce-bcbe-574809e1ba80,,,CONFIDENT_HIV_POSITIVE,CONFIDENT_HIV_POSITIVE,Positive,Positivo,,,Misc,N/A,,,,,
833fcc7c-2140-4994-afb7-9ba4bb2119e7,,,CONFIDENT_HIV_NEGATIVE,CONFIDENT_HIV_NEGATIVE,Negative,Negativo,,,Misc,N/A,,,,,
3d8daff1-5210-4d0e-8ff3-b56c02c0dc05,,,CONFIDENT_UNKNOWN,CONFIDENT_UNKNOWN,Unknown,Desconhecido,,,Misc,N/A,,,,,
559d6d66-a348-44af-a7b4-5fdb0174b599,,,CONFIDENT_YES,CONFIDENT_YES,Yes,Sim,,,Misc,N/A,,,,,
b4d2e599-ad64-42c6-937a-8c955367ff3a,,,CONFIDENT_NO,CONFIDENT_NO,No,Não,,,Misc,N/A,,,,,
0352f855-b382-4c47-8278-a643e7cd7643,,,CONFIDENT_DISCHARGED,CONFIDENT_DISCHARGED,Discharged,Teve Alta,,,Misc,N/A,,,,,
24b6ed78-3152-459d-b1ac-8c4f3d7bf8f9,,,CONFIDENT_NID,CONFIDENT_NID,NID,NID,,,Misc,Text,,,,,
24b6ed78-3152-459d-b1ac-8cef3d7bf8f9,,,CONFIDENT_NAME,CONFIDENT_NAME,Name,Nome,,,Misc,Text,,,,,
ebe5f674-257a-4bac-98cb-700f67927075,,,CONFIDENT_SURNAME,CONFIDENT_SURNAME,Surname,Apelido,,,Misc,Text,,,,,
48f6fa87-c98f-41ad-8a4e-10e166545c6a,,REL_HUSBAND_WIFE;REL_DAD;REL_MOM;REL_SON_DAUGHTER;REL_SISTER;REL_BROTHER;REL_STEPDAD;REL_STEPMOM;REL_FATHERINLAW;REL_GODFATHER;REL_GODMOTHER;REL_COUSIN;REL_GODSON_DAUGHTER;REL_NEPHEW;REL_BROTHERINLAW;REL_SISTERINLAW;REL_UNCLE_AUNT;REL_GRANDFATHER_MOTHER;REL_SONINLAW;REL_DAUGHTERINLAW;REL_GRANDSON_DAUGHTER;REL_NEIGHBOR;REL_FRIEND,CONFIDENT_RELATIONSHIP,CONFIDENT_RELATIONSHIP,Relationship,Grau de Parentesco,,,Misc,Coded,,,,,
973118bf-1d10-479c-a782-672601856feb,,,CONFIDENT_TELEPHONE1,CONFIDENT_TELEPHONE1,Telephone (1),Telefone (1),,,Misc,Text,,,,,
5d560847-21df-4ac3-a8a0-5243af196b89,,,CONFIDENT_TELEPHONE2,CONFIDENT_TELEPHONE2,Telephone (2),Telefone (2),,,Misc,Text,,,,,
