uuid,Members,Answers,Fully specified name:pt,Fully specified name:en,Short name:pt,Short name:en,Data class,Data type,_version:1,_order:100
af076a73-0af2-43ba-b832-4086be1d4d8b,,,DC_Cólera,DC_Cólera,A00-Cólera,A00-Cólera,Misc,N/A,,
110bae3f-695f-4e35-814d-a4f93f0e077a,,,DC_Febres tifóide e paratifóide,DC_Febres tifóide e paratifóide,A01-Febres tifóide e paratifóide,A01-Febres tifóide e paratifóide,Misc,N/A,,
b55c0c86-7fc0-44df-89dc-5e71070de9dd,,,DC_Outras infecções por Salmonella,DC_Outras infecções por Salmonella,A02-Outras infecções por Salmonella,A02-Outras infecções por Salmonella,Misc,N/A,,
0823cab2-4aeb-4f3a-8d5b-93a1ae33c70a,,,DC_Shiguelose,DC_Shiguelose,A03-Shiguelose,A03-Shiguelose,Misc,N/A,,
fe489783-1da9-41ec-bc67-a6d0b2d18cc5,,,DC_Outras infecções intestinais bacterianas,DC_Outras infecções intestinais bacterianas,A04-Outras infecções intestinais bacterianas,A04-Outras infecções intestinais bacterianas,Misc,N/A,,
14468ce9-8bc9-49b5-ab89-386e71966d7d,,,DC_Outras intoxicações alimentares bacterianas,DC_Outras intoxicações alimentares bacterianas,A05-Outras intoxicações alimentares bacterianas,A05-Outras intoxicações alimentares bacterianas,Misc,N/A,,
6596c3d6-49a2-486f-bdd0-c441beeb1d9c,,,DC_Amebíase,DC_Amebíase,A06-Amebíase,A06-Amebíase,Misc,N/A,,
6a07ec8c-d113-4689-bda3-b11cd5a5abcd,,,DC_Outras doenças intestinais por protozoários,DC_Outras doenças intestinais por protozoários,A07-Outras doenças intestinais por protozoários,A07-Outras doenças intestinais por protozoários,Misc,N/A,,
fe6ba900-5cdc-40a9-a4a4-6fdb4ce03d7b,,,"DC_Infecções intestinais virais, outras e as não especificadas","DC_Infecções intestinais virais, outras e as não especificadas","A08-Infecções intestinais virais, outras e as não especificadas","A08-Infecções intestinais virais, outras e as não especificadas",Misc,N/A,,
c54257ac-f7c8-4afc-8d45-bf3985535045,,,DC_Diarréia e gastroenterite de origem infecciosa presumível,DC_Diarréia e gastroenterite de origem infecciosa presumível,A09-Diarréia e gastroenterite de origem infecciosa presumível,A09-Diarréia e gastroenterite de origem infecciosa presumível,Misc,N/A,,
1d36eb3d-2e6b-4500-832e-eb5141b4d571,,,"DC_Tuberculose respiratória, com confirmação bacteriológica e histológica","DC_Tuberculose respiratória, com confirmação bacteriológica e histológica","A15-Tuberculose respiratória, com confirmação bacteriológica e histológica","A15-Tuberculose respiratória, com confirmação bacteriológica e histológica",Misc,N/A,,
529324a6-4fc3-44af-afb1-816b431e92b3,,,"DC_Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica","DC_Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica","A16-Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica","A16-Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",Misc,N/A,,
23023f6e-6ddc-4321-ba1b-cc460e5043b8,,,DC_Tuberculose do sistema nervoso,DC_Tuberculose do sistema nervoso,A17-Tuberculose do sistema nervoso,A17-Tuberculose do sistema nervoso,Misc,N/A,,
865f56be-0808-4982-8574-5eaeb10255dc,,,DC_Tuberculose de outros órgãos,DC_Tuberculose de outros órgãos,A18-Tuberculose de outros órgãos,A18-Tuberculose de outros órgãos,Misc,N/A,,
cc19eaa7-4d94-471f-af21-5340c9b1f609,,,DC_Tuberculose miliar,DC_Tuberculose miliar,A19-Tuberculose miliar,A19-Tuberculose miliar,Misc,N/A,,
830b7afc-17f5-4914-9453-6bee9269cd36,,,DC_Peste,DC_Peste,A20-Peste,A20-Peste,Misc,N/A,,
5bfb3991-c3c4-4d19-bf3e-a2232f066b38,,,DC_Tularemia,DC_Tularemia,A21-Tularemia,A21-Tularemia,Misc,N/A,,
39ee79a4-0ffa-4cb2-a1b4-1f7195b58517,,,DC_Carbúnculo,DC_Carbúnculo,A22-Carbúnculo,A22-Carbúnculo,Misc,N/A,,
20c87f36-fcbf-4c81-bab0-f9b767690cef,,,DC_Brucelose,DC_Brucelose,A23-Brucelose,A23-Brucelose,Misc,N/A,,
ed1aef7d-1976-4f86-a6d1-bdac1750a4b1,,,DC_Mormo e melioidose,DC_Mormo e melioidose,A24-Mormo e melioidose,A24-Mormo e melioidose,Misc,N/A,,
e563a50e-17d1-40df-984c-95d0f7e69f82,,,DC_Febres transmitidas por mordedura de rato,DC_Febres transmitidas por mordedura de rato,A25-Febres transmitidas por mordedura de rato,A25-Febres transmitidas por mordedura de rato,Misc,N/A,,
f4754d13-89cc-4695-b07b-8659faf071aa,,,DC_Erisipelóide,DC_Erisipelóide,A26-Erisipelóide,A26-Erisipelóide,Misc,N/A,,
