uuid,Members,Answers,Fully specified name:pt_BR,Fully specified name:en,Short name:pt_BR,Short name:en,Data class,Data type,_version:1,_order:100
0c648651-dfd2-4375-a878-4a442c6b7cb9,,,Alto Molocue,Alto Molocue,Alto Molocue,Alto Molocue,Misc,N/A,,
1d02bf96-2e0d-4a43-bcc0-8d6f67525bc7,,,Ancuabe,Ancuabe,Ancuabe,Ancuabe,Misc,N/A,,
2d35946a-ded0-495d-937c-6d9ea9c21168,,,Angoche,Angoche,Angoche,Angoche,Misc,N/A,,
f2c42089-8e39-415b-b510-018237376fb6,,,Angonia,Angonia,Angonia,Angonia,Misc,N/A,,
6a0a300f-d113-4c4e-9e46-1f272dd71899,,,Balama,Balama,Balama,Balama,Misc,N/A,,
997b94c6-0a78-467d-8304-7347e4c64c5a,,,Barue,Barue,Barue,Barue,Misc,N/A,,
6960fd89-45d6-4de3-a778-61377bd88a3c,,,Beira,Beira,Beira,Beira,Misc,N/A,,
6f353a13-a69e-44e1-af38-f4ed36d1e935,,,Bilene,Bilene,Bilene,Bilene,Misc,N/A,,
85c0e36d-1f75-4893-8226-1bc90523e71a,,,Boane,Boane,Boane,Boane,Misc,N/A,,
74a5b09f-4bb1-4832-b224-ead34b4e36bd,,,Buzi,Buzi,Buzi,Buzi,Misc,N/A,,
ec16ea69-10e1-4389-bb39-2354c5506533,,,C. De Xai-Xai,C. De Xai-Xai,C. De Xai-Xai,C. De Xai-Xai,Misc,N/A,,
ce74b76d-2710-4768-9791-ca14636a2e75,,,Cahora-Bassa,Cahora-Bassa,Cahora-Bassa,Cahora-Bassa,Misc,N/A,,
50cdf099-243b-4c8c-ad39-8d792ae52d6a,,,Caia,Caia,Caia,Caia,Misc,N/A,,
29b25fa4-cbc7-47e3-9ffe-ea69dc9f3367,,,Changara,Changara,Changara,Changara,Misc,N/A,,
64b615d3-c9e1-4a8b-935d-32fbe8a0f029,,,Chemba,Chemba,Chemba,Chemba,Misc,N/A,,
8c9a070e-12e6-4976-8026-a79d1decb65f,,,Cheringoma,Cheringoma,Cheringoma,Cheringoma,Misc,N/A,,
646176fb-83bc-4ad2-86a4-35296f64127f,,,Chibabava,Chibabava,Chibabava,Chibabava,Misc,N/A,,
9e62ab23-7727-447d-a729-436a7e7ce179,,,Chibuto,Chibuto,Chibuto,Chibuto,Misc,N/A,,
bbf1ccfa-44f9-4661-a7af-313f9af49b48,,,Chiconono,Chiconono,Chiconono,Chiconono,Misc,N/A,,
8658212c-82c2-4b3c-8e3e-be379f2b25ed,,,Chicualacuala,Chicualacuala,Chicualacuala,Chicualacuala,Misc,N/A,,
4fa165b0-40b1-4ddf-9b35-63b0a8b903d2,,,Chifunde,Chifunde,Chifunde,Chifunde,Misc,N/A,,
8ea970bd-96ed-4f59-8bfd-cbf22130a841,,,Chigubo,Chigubo,Chigubo,Chigubo,Misc,N/A,,
49736681-e5a5-4c91-8f68-ecfde93ab571,,,Chimbunila,Chimbunila,Chimbunila,Chimbunila,Misc,N/A,,
cf524968-f920-412b-963f-0744fe8b414e,,,Chinde,Chinde,Chinde,Chinde,Misc,N/A,,
78dc7ad7-56f0-4afa-9ff7-8f4d698e8621,,,Chiuta,Chiuta,Chiuta,Chiuta,Misc,N/A,,
9a3c0980-960e-40db-a531-391eefacb265,,,Chiúre,Chiúre,Chiúre,Chiúre,Misc,N/A,,
1c3e5355-04f1-48df-9f04-a5f62c2dd4ff,,,Chokwe,Chokwe,Chokwe,Chokwe,Misc,N/A,,
ce53b7c5-0e17-4488-b96e-caaf1217f657,,,Cid. Lichinga District,Cid. Lichinga District,Cid. Lichinga,Cid. Lichinga,Misc,N/A,,
64089c31-046d-4ed2-a2ee-3138b3e616f1,,,Cidade Da Matola,Cidade Da Matola,Cidade Da Matola,Cidade Da Matola,Misc,N/A,,
f88fe3a9-4a7c-40c3-b457-df7c9274be40,,,Cidade De Chimoio,Cidade De Chimoio,Cidade De Chimoio,Cidade De Chimoio,Misc,N/A,,
bc457f4a-0e37-4db1-b6ba-37e4b7ab5b4d,,,Cidade De Nampula,Cidade De Nampula,Cidade De Nampula,Cidade De Nampula,Misc,N/A,,
c332978c-a3d3-4a9a-8253-30bf15a113db,,,Cidade De Pemba,Cidade De Pemba,Cidade De Pemba,Cidade De Pemba,Misc,N/A,,
2d4e376e-d2a8-4516-8d12-954880f97c89,,,Cidade De Quelimane,Cidade De Quelimane,Cidade De Quelimane,Cidade De Quelimane,Misc,N/A,,
5b26e968-39a5-429d-85b0-b64e366942b1,,,Cobue,Cobue,Cobue,Cobue,Misc,N/A,,
857840bd-1715-4a73-a39c-e7f262dd1457,,,Dondo,Dondo,Dondo,Dondo,Misc,N/A,,
aa0cfe38-0c94-40f2-8a51-d206c03897f6,,,Erati,Erati,Erati,Erati,Misc,N/A,,
df0e8075-6e8a-45e6-9f92-9ddf213c4904,,,Etatara,Etatara,Etatara,Etatara,Misc,N/A,,
eaaa866d-d3b1-4924-b65d-f416e06f31fa,,,Funhalouro,Funhalouro,Funhalouro,Funhalouro,Misc,N/A,,
ec446a2f-35c9-4c01-b6d4-7c262f392ced,,,Gile,Gile,Gile,Gile,Misc,N/A,,
6ccd145b-f639-40f9-82d8-aeb867341e50,,,Gondola,Gondola,Gondola,Gondola,Misc,N/A,,
19f8697a-bb92-45eb-85b0-b47a74d5828e,,,Gorongosa,Gorongosa,Gorongosa,Gorongosa,Misc,N/A,,
beac6944-499a-4450-9945-708e3ee85788,,,Govuro,Govuro,Govuro,Govuro,Misc,N/A,,
760e8da3-2dc2-4949-a357-49f9e70ec64d,,,Guija,Guija,Guija,Guija,Misc,N/A,,
1795a968-92d2-47ef-b84c-2e6ebfa7f383,,,Guro,Guro,Guro,Guro,Misc,N/A,,
15a5c974-aaff-442e-ae9e-8e4635b1e348,,,Gurue,Gurue,Gurue,Gurue,Misc,N/A,,
