uuid,Members,Answers,Fully specified name:pt_BR,Fully specified name:en,Short name:pt_BR,Short name:en,Data class,Data type,_version:1,_order:100
d26b97ab-eaa0-4dce-8fa4-14edaff7b7df,,,Centro de Exames Médicos -,Centro de Exames Médicos -,Centro de Exames Médicos -,Centro de Exames Médicos -,Misc,N/A,,
9e4a5edd-9f38-4136-91d2-a878a5217862,,,CHAEM -,CHAEM -,CHAEM -,CHAEM -,Misc,N/A,,
b2d4f143-6585-4b23-9f36-c3b1ad5baa63,,,Clinica Privado Maputo -,Clinica Privado Maputo -,Clinica Privado Maputo -,Clinica Privado Maputo -,Misc,N/A,,
8324de3e-24b4-4fe2-a2a9-890a68803ac9,,,CS 1 de Junho - 1110406,CS 1 de Junho - 1110406,CS 1 de Junho - 1110406,CS 1 de Junho - 1110406,Misc,N/A,,
bce8fb85-8970-459f-b436-925a795387a8,,,CS 1 de Maio - 1030108,CS 1 de Maio - 1030108,CS 1 de Maio - 1030108,CS 1 de Maio - 1030108,Misc,N/A,,
2a2615f2-0ad7-42f3-a04e-7a02576b2e7c,,,CS 1 de Maio - 1110307,CS 1 de Maio - 1110307,CS 1 de Maio - 1110307,CS 1 de Maio - 1110307,Misc,N/A,,
091dbd0e-eaef-4ba4-a002-afd62591abcb,,,CS 16 de Junho - 1041137,CS 16 de Junho - 1041137,CS 16 de Junho - 1041137,CS 16 de Junho - 1041137,Misc,N/A,,
3892782e-aedf-4c61-9521-ff32bfec7d0b,,,CS 17 De Setembro - 1040106,CS 17 De Setembro - 1040106,CS 17 De Setembro - 1040106,CS 17 De Setembro - 1040106,Misc,N/A,,
6b088a2e-e2cd-42a3-81ee-0432db78db53,,,CS 18 de Outubro - 1020114,CS 18 de Outubro - 1020114,CS 18 de Outubro - 1020114,CS 18 de Outubro - 1020114,Misc,N/A,,
d0982734-8155-4d67-aee4-959d5bf6bec1,,,CS 1º de Maio - 1060107,CS 1º de Maio - 1060107,CS 1º de Maio - 1060107,CS 1º de Maio - 1060107,Misc,N/A,,
be7f35ba-14e2-4a99-ba1a-c08742dcba6e,,,CS 24 de Julho - 1040107,CS 24 de Julho - 1040107,CS 24 de Julho - 1040107,CS 24 de Julho - 1040107,Misc,N/A,,
830ff1ed-bbba-4a6a-a883-db7ef91e6f87,,,CS 25 de Setembro - 1030106,CS 25 de Setembro - 1030106,CS 25 de Setembro - 1030106,CS 25 de Setembro - 1030106,Misc,N/A,,
a6a99452-5b3f-4c58-91b9-58329a3f38c6,,,CS 25 de Setembro - 1051018,CS 25 de Setembro - 1051018,CS 25 de Setembro - 1051018,CS 25 de Setembro - 1051018,Misc,N/A,,
2cc56a09-d8f1-4d3a-81fc-ceca2f5261d7,,,CS 25 de Setembro - 1090605,CS 25 de Setembro - 1090605,CS 25 de Setembro - 1090605,CS 25 de Setembro - 1090605,Misc,N/A,,
3903301c-c05b-4d85-8d04-fd25cb322d34,,,CS 3 de Fevereiro - 1100415,CS 3 de Fevereiro - 1100415,CS 3 de Fevereiro - 1100415,CS 3 de Fevereiro - 1100415,Misc,N/A,,
3469f1ea-20bc-4f88-922c-12abf332feff,,,CS 3 Fevereiro - 1070408,CS 3 Fevereiro - 1070408,CS 3 Fevereiro - 1070408,CS 3 Fevereiro - 1070408,Misc,N/A,,
d7536c32-0b82-4d9e-a134-d29e704419bc,,,CS 4 de Dezembro - 1040109,CS 4 de Dezembro - 1040109,CS 4 de Dezembro - 1040109,CS 4 de Dezembro - 1040109,Misc,N/A,,
20c37772-109a-4bb4-b81d-2c6fb6026df3,,,CS 4º Congresso - 1060798,CS 4º Congresso - 1060798,CS 4º Congresso - 1060798,CS 4º Congresso - 1060798,Misc,N/A,,
46491f23-2d6b-466f-bc45-2796821e833c,,,CS 7 de Abril - 1041715,CS 7 de Abril - 1041715,CS 7 de Abril - 1041715,CS 7 de Abril - 1041715,Misc,N/A,,
1c8710fd-4afc-4327-8e71-baa65c2d041a,,,CS 7 De Abril - 1060110,CS 7 De Abril - 1060110,CS 7 De Abril - 1060110,CS 7 De Abril - 1060110,Misc,N/A,,
81b5bf13-e029-4b01-a496-2ff67c9c97f8,,,CS 7 De Setembro - 1011606,CS 7 De Setembro - 1011606,CS 7 De Setembro - 1011606,CS 7 De Setembro - 1011606,Misc,N/A,,
3dbdbe78-095d-4d2f-a10d-2475440b9a39,,,CS 8 de Março - 1041236,CS 8 de Março - 1041236,CS 8 de Março - 1041236,CS 8 de Março - 1041236,Misc,N/A,,
2c82d94d-68cb-4ad2-84ea-c690f206b8bc,,,CS Adine 3 - 1010202,CS Adine 3 - 1010202,CS Adine 3 - 1010202,CS Adine 3 - 1010202,Misc,N/A,,
85b87abc-9dd1-4dd0-b859-ae6730234a51,,,CS Agostinho Neto - 1081007,CS Agostinho Neto - 1081007,CS Agostinho Neto - 1081007,CS Agostinho Neto - 1081007,Misc,N/A,,
9bd9df35-7a5b-41e4-8f6f-c614cb57b63b,,,CS Akumi - 1031715,CS Akumi - 1031715,CS Akumi - 1031715,CS Akumi - 1031715,Misc,N/A,,
d26cac9e-0a78-424d-ac26-d98d21f533ae,,,CS Albazine - 1110411,CS Albazine - 1110411,CS Albazine - 1110411,CS Albazine - 1110411,Misc,N/A,,
c8c94d5d-b8aa-46ff-aa66-a04efe227dba,,,CS Alto Benfica - 1041114,CS Alto Benfica - 1041114,CS Alto Benfica - 1041114,CS Alto Benfica - 1041114,Misc,N/A,,
a299c7f8-a50f-4fef-a48c-1fed2a7da10d,,,CS Alto Changane - 1090307,CS Alto Changane - 1090307,CS Alto Changane - 1090307,CS Alto Changane - 1090307,Misc,N/A,,
80c0cbd8-60b0-43bb-a756-a6d3daef71c0,,,CS Alto Ligonha - 1040406,CS Alto Ligonha - 1040406,CS Alto Ligonha - 1040406,CS Alto Ligonha - 1040406,Misc,N/A,,
718013f1-268d-4736-990e-fc8a4f7bbccd,,,CS Alto Maganha - 1041737,CS Alto Maganha - 1041737,CS Alto Maganha - 1041737,CS Alto Maganha - 1041737,Misc,N/A,,
12bfe972-476c-4878-9b5b-28ee87f3370a,,,CS Alto Maé - 1110106,CS Alto Maé - 1110106,CS Alto Maé - 1110106,CS Alto Maé - 1110106,Misc,N/A,,
13b09fbc-a996-407d-81a2-fa40b53fa665,,,CS Alto Molócuè - 1040206,CS Alto Molócuè - 1040206,CS Alto Molócuè - 1040206,CS Alto Molócuè - 1040206,Misc,N/A,,
c6970ac4-e667-4d98-9647-016eda733026,,,CS Alto Mutola - 1040916,CS Alto Mutola - 1040916,CS Alto Mutola - 1040916,CS Alto Mutola - 1040916,Misc,N/A,,
48c2df74-e5fc-408b-afc4-d06de0295d73,,,CS Alua - 1030306,CS Alua - 1030306,CS Alua - 1030306,CS Alua - 1030306,Misc,N/A,,
142c9f04-6450-4fb0-8ee1-0659db93acd0,,,CS Amambos - 1071127,CS Amambos - 1071127,CS Amambos - 1071127,CS Amambos - 1071127,Misc,N/A,,
88e29901-d95b-4a6b-a147-aed8e71c5e9e,,,CS Amatongas - 1060307,CS Amatongas - 1060307,CS Amatongas - 1060307,CS Amatongas - 1060307,Misc,N/A,,
aa4e1afd-8d92-4c36-8f14-b32b036ecf91,,,CS Amoro - 1041618,CS Amoro - 1041618,CS Amoro - 1041618,CS Amoro - 1041618,Misc,N/A,,
d99d34ef-1fd9-4770-b253-f3b496db7ef3,,,CS Ampara - 1070207,CS Ampara - 1070207,CS Ampara - 1070207,CS Ampara - 1070207,Misc,N/A,,
1ba436d3-46c3-4223-95a5-707aee5464c4,,,CS Anchilo - 1032007,CS Anchilo - 1032007,CS Anchilo - 1032007,CS Anchilo - 1032007,Misc,N/A,,
0f6c89de-7b84-4642-be59-6e1d18ad6904,,,CS Ancuabe - 1020206,CS Ancuabe - 1020206,CS Ancuabe - 1020206,CS Ancuabe - 1020206,Misc,N/A,,
7687c9bd-5161-46df-90be-ece231af8ed7,,,CS Ancuaze - 1051402,CS Ancuaze - 1051402,CS Ancuaze - 1051402,CS Ancuaze - 1051402,Misc,N/A,,
8b887dfb-239a-46de-b257-44260cfdc281,,,CS Arijuane - 1040308,CS Arijuane - 1040308,CS Arijuane - 1040308,CS Arijuane - 1040308,Misc,N/A,,
816464c9-def8-4977-8c16-93bd318a28b2,,,CS Assumane - 1010110,CS Assumane - 1010110,CS Assumane - 1010110,CS Assumane - 1010110,Misc,N/A,,
5671c536-b969-4b66-a8b7-3b25f7bd3d82,,,CS Aube - 1030210,CS Aube - 1030210,CS Aube - 1030210,CS Aube - 1030210,Misc,N/A,,
