uuid,Members,Answers,Fully specified name:pt,Fully specified name:en,Short name:pt,Short name:en,Data class,Data type,Same as mappings,_version:1,_order:100
da9ec039-2496-4ceb-8c4d-941bc5f94319,,,Cólera,Cólera,A00-Cólera,A00-Cólera,Diagnosis,N/A,ICD 10 - WHO:A00,,
ffcd17eb-0c61-4ca9-b1b3-232e9f43b03c,,,Febres tifóide e paratifóide,Febres tifóide e paratifóide,A01-Febres tifóide e paratifóide,A01-Febres tifóide e paratifóide,Diagnosis,N/A,ICD 10 - WHO:A01,,
1888f0e2-db33-49be-92a2-cbf3445f20f1,,,Outras infecções por Salmonella,Outras infecções por Salmonella,A02-Outras infecções por Salmonella,A02-Outras infecções por Salmonella,Diagnosis,N/A,ICD 10 - WHO:A02,,
c228d7c7-3cc1-45c1-979f-c32a43db0f16,,,Shiguelose,Shiguelose,A03-Shiguelose,A03-Shiguelose,Diagnosis,N/A,ICD 10 - WHO:A03,,
dd6dcf3d-e0a7-4856-b88d-cda631f1b256,,,Outras infecções intestinais bacterianas,Outras infecções intestinais bacterianas,A04-Outras infecções intestinais bacterianas,A04-Outras infecções intestinais bacterianas,Diagnosis,N/A,ICD 10 - WHO:A04,,
0f1a95ee-b3bd-4870-8e24-4c201fa33c20,,,Outras intoxicações alimentares bacterianas,Outras intoxicações alimentares bacterianas,A05-Outras intoxicações alimentares bacterianas,A05-Outras intoxicações alimentares bacterianas,Diagnosis,N/A,ICD 10 - WHO:A05,,
49825827-0abd-41cd-9bc1-c3cead67f6ab,,,Amebíase,Amebíase,A06-Amebíase,A06-Amebíase,Diagnosis,N/A,ICD 10 - WHO:A06,,
7b50e913-eae9-400d-bda8-7ef4bfc5bb1c,,,Outras doenças intestinais por protozoários,Outras doenças intestinais por protozoários,A07-Outras doenças intestinais por protozoários,A07-Outras doenças intestinais por protozoários,Diagnosis,N/A,ICD 10 - WHO:A07,,
af6d9409-cb4c-46f4-bd68-c9fcad6d9d07,,,"Infecções intestinais virais, outras e as não especificadas","Infecções intestinais virais, outras e as não especificadas","A08-Infecções intestinais virais, outras e as não especificadas","A08-Infecções intestinais virais, outras e as não especificadas",Diagnosis,N/A,ICD 10 - WHO:A08,,
371da285-8209-45e4-9867-f0f715f6f246,,,Diarréia e gastroenterite de origem infecciosa presumível,Diarréia e gastroenterite de origem infecciosa presumível,A09-Diarréia e gastroenterite de origem infecciosa presumível,A09-Diarréia e gastroenterite de origem infecciosa presumível,Diagnosis,N/A,ICD 10 - WHO:A09,,
