Uuid,Void/Retire,Answers,Fully specified name:en,Fully specified name:pt_BR,Short name:en,Short name:pt_BR,Data class,Data type,_order:1000
c36bc411-3f10-11e4-adec-0800271c1b01,,,Activista,Activista,Activista,Activista,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b02,,,Administrativo,Administrativo,Administrativo,Administrativo,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b03,,,Agricultor,Agricultor,Agricultor,Agricultor,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b04,,,Antropólogo,Antropólogo,Antropólogo,Antropólogo,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b05,,,Arquitecto,Arquitecto,Arquitecto,Arquitecto,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b06,,,Assistente Social,Assistente Social,Assistente Social,Assistente Social,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b07,,,Auxiliar,Auxiliar,Auxiliar,Auxiliar,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b08,,,Banqueiro,Banqueiro,Banqueiro,Banqueiro,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b09,,,Barbeiro,Barbeiro,Barbeiro,Barbeiro,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b10,,,Barqueiro,Barqueiro,Barqueiro,Barqueiro,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b11,,,Batumador,Batumador,Batumador,Batumador,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b12,,,Biólogo,Biólogo,Biólogo,Biólogo,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b13,,,Bombeiro,Bombeiro,Bombeiro,Bombeiro,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b14,,,Cabelereiro(a),Cabelereiro(a),Cabelereiro(a),Cabelereiro(a),Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b15,,,Caçador,Caçador,Caçador,Caçador,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b16,,,Camionista,Camionista,Camionista,Camionista,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b17,,,Canalizador,Canalizador,Canalizador,Canalizador,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b18,,,Carpinteiro,Carpinteiro,Carpinteiro,Carpinteiro,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b19,,,Comerciante,Comerciante,Comerciante,Comerciante,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b20,,,Conselheiro(a),Conselheiro(a),Conselheiro(a),Conselheiro(a),Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b21,,,Contabilista,Contabilista,Contabilista,Contabilista,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b22,,,Cortador de peixe,Cortador de peixe,Cortador de peixe,Cortador de peixe,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b23,,,Costureiro(a),Costureiro(a),Costureiro(a),Costureiro(a),Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b24,,,Cozinheiro(a),Cozinheiro(a),Cozinheiro(a),Cozinheiro(a),Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b25,,,Criador de Gado,Criador de Gado,Criador de Gado,Criador de Gado,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b26,,,Desportista,Desportista,Desportista,Desportista,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b27,,,Doméstico,Doméstico,Doméstico,Doméstico,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b28,,,Electricista,Electricista,Electricista,Electricista,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b29,,,Empregado Doméstico,Empregado Doméstico,Empregado Doméstico,Empregado Doméstico,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b30,,,Enfermeiro,Enfermeiro,Enfermeiro,Enfermeiro,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b31,,,Engenheiro,Engenheiro,Engenheiro,Engenheiro,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b32,,,Estatícista,Estatícista,Estatícista,Estatícista,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b33,,,Esteticista,Esteticista,Esteticista,Esteticista,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b34,,,Estivador,Estivador,Estivador,Estivador,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b35,,,Estudante,Estudante,Estudante,Estudante,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b36,,,Estufador,Estufador,Estufador,Estufador,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b37,,,Fabricante,Fabricante,Fabricante,Fabricante,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b38,,,Farmacêutico,Farmacêutico,Farmacêutico,Farmacêutico,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b39,,,Garimpeiro,Garimpeiro,Garimpeiro,Garimpeiro,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b40,,,Geógrafo,Geógrafo,Geógrafo,Geógrafo,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b41,,,Gestor,Gestor,Gestor,Gestor,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b42,,,Informático,Informático,Informático,Informático,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b43,,,Investigador,Investigador,Investigador,Investigador,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b44,,,Jardineiro,Jardineiro,Jardineiro,Jardineiro,Misc,N/A,
c36bc411-3f10-11e4-adec-0800271c1b45,,,Leiteiro,Leiteiro,Leiteiro,Leiteiro,Misc,N/A,
