uuid,Members,Answers,Fully specified name:en,Fully specified name:pt,Short name:en,Short name:pt,Description:en,Description:pt,Data class,Data type,Units,Normal high,Normal low,_version:1,_order:1008
"f03ae2e2-b8e3-11e9-a2a3-2a2ae2dbcce4",,,Ácido P-aminosalicílico (PAS),Ácido P-aminosalicílico (PAS),Ácido P-aminosalicílico (PAS),Ácido P-aminosalicílico (PAS),,,Misc,N/A,,,,,
"f03ae594-b8e3-11e9-a2a3-2a2ae2dbcce4",,,Amikacina,Amikacina,Amikacina,Amikacina,,,Misc,N/A,,,,,
"f03ae6fc-b8e3-11e9-a2a3-2a2ae2dbcce4",,,Amoxilina-ác. Clavilânico,Amoxilina-ác. Clavilânico,Amoxilina-ác. Clavilânico,Amoxilina-ác. Clavilânico,,,Misc,N/A,,,,,
"f03ae83c-b8e3-11e9-a2a3-2a2ae2dbcce4",,,Bedaquilina,Bedaquilina,Bedaquilina,Bedaquilina,,,Misc,N/A,,,,,
"f03aecb0-b8e3-11e9-a2a3-2a2ae2dbcce4",,,Capreomicina,Capreomicina,Capreomicina,Capreomicina,,,Misc,N/A,,,,,
"f03aee22-b8e3-11e9-a2a3-2a2ae2dbcce4",,,Cicloserina/Terizidona,Cicloserina/Terizidona,Cicloserina/Terizidona,Cicloserina/Terizidona,,,Misc,N/A,,,,,
"f03aef58-b8e3-11e9-a2a3-2a2ae2dbcce4",,,Clofazimina,Clofazimina,Clofazimina,Clofazimina,,,Misc,N/A,,,,,
"f03af08e-b8e3-11e9-a2a3-2a2ae2dbcce4",,,Delamanida,Delamanida,Delamanida,Delamanida,,,Misc,N/A,,,,,
"f03af1ba-b8e3-11e9-a2a3-2a2ae2dbcce4",,,Estreptomicina,Estreptomicina,Estreptomicina,Estreptomicina,,,Misc,N/A,,,,,
"f03af2e6-b8e3-11e9-a2a3-2a2ae2dbcce4",,,Etambutol,Etambutol,Etambutol,Etambutol,,,Misc,N/A,,,,,
"f03af412-b8e3-11e9-a2a3-2a2ae2dbcce4",,,Etionamida/Protionamida,Etionamida/Protionamida,Etionamida/Protionamida,Etionamida/Protionamida,,,Misc,N/A,,,,,
"f03af782-b8e3-11e9-a2a3-2a2ae2dbcce4",,,Gatifloxacina,Gatifloxacina,Gatifloxacina,Gatifloxacina,,,Misc,N/A,,,,,
"f03af94e-b8e3-11e9-a2a3-2a2ae2dbcce4",,,Imipenem-Cilastatina,Imipenem-Cilastatina,Imipenem-Cilastatina,Imipenem-Cilastatina,,,Misc,N/A,,,,,
"f03afaac-b8e3-11e9-a2a3-2a2ae2dbcce4",,,Isoniazida/Pirazinamida (2DFC),Isoniazida/Pirazinamida (2DFC),Isoniazida/Pirazinamida (2DFC),Isoniazida/Pirazinamida (2DFC),,,Misc,N/A,,,,,
"f03afbd8-b8e3-11e9-a2a3-2a2ae2dbcce4",,,Isoniazida/Rifampicina/Pirazinamida (3DFC),Isoniazida/Rifampicina/Pirazinamida (3DFC),Isoniazida/Rifampicina/Pirazinamida (3DFC),Isoniazida/Rifampicina/Pirazinamida (3DFC),,,Misc,N/A,,,,,
"f03afd04-b8e3-11e9-a2a3-2a2ae2dbcce4",,,Isoniazida/Rifampicina/Pirazinamida/Etambutol (4DFC),Isoniazida/Rifampicina/Pirazinamida/Etambutol (4DFC),Isoniazida/Rifampicina/Pirazinamida/Etambutol (4DFC),Isoniazida/Rifampicina/Pirazinamida/Etambutol (4DFC),,,Misc,N/A,,,,,
"f03afe30-b8e3-11e9-a2a3-2a2ae2dbcce4",,,Kanamicina,Kanamicina,Kanamicina,Kanamicina,,,Misc,N/A,,,,,
"f03aff52-b8e3-11e9-a2a3-2a2ae2dbcce4",,,Levofloxacina,Levofloxacina,Levofloxacina,Levofloxacina,,,Misc,N/A,,,,,
"f03b02cc-b8e3-11e9-a2a3-2a2ae2dbcce4",,,Linezolide,Linezolide,Linezolide,Linezolide,,,Misc,N/A,,,,,
"f03b0416-b8e3-11e9-a2a3-2a2ae2dbcce4",,,Meropenem,Meropenem,Meropenem,Meropenem,,,Misc,N/A,,,,,
"f03b054c-b8e3-11e9-a2a3-2a2ae2dbcce4",,,Moxifloxacina,Moxifloxacina,Moxifloxacina,Moxifloxacina,,,Misc,N/A,,,,,
"f03b0678-b8e3-11e9-a2a3-2a2ae2dbcce4",,,Terizidiona,Terizidiona,Terizidiona,Terizidiona,,,Misc,N/A,,,,,
"f03b07ae-b8e3-11e9-a2a3-2a2ae2dbcce4",,,Tiacetazona,Tiacetazona,Tiacetazona,Tiacetazona,,,Misc,N/A,,,,,
