Uuid,Void/Retire,Answers,Fully specified name:en,Fully specified name:pt_BR,Short name:en,Short name:pt_BR,Data class,Data type,_order:1000
c36bc411-3f10-11e4-adec-0800271c1b01,,,Activista,Activista,Activista,Activista,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b02,,,Administrativo,Administrativo,Administrativo,Administrativo,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b03,,,Agricultor,Agricultor,Agricultor,Agricultor,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b04,,,Antropólogo,Antropólogo,Antropólogo,Antropólogo,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b05,,,Arquitecto,Arquitecto,Arquitecto,Arquitecto,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b06,,,Assistente Social,Assistente Social,Assistente Social,Assistente Social,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b07,,,Auxiliar,Auxiliar,Auxiliar,Auxiliar,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b08,,,Banqueiro,Banqueiro,Banqueiro,Banqueiro,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b09,,,Barbeiro,Barbeiro,Barbeiro,Barbeiro,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b10,,,Barqueiro,Barqueiro,Barqueiro,Barqueiro,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b11,,,Batumador,Batumador,Batumador,Batumador,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b12,,,Biólogo,Biólogo,Biólogo,Biólogo,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b13,,,Bombeiro,Bombeiro,Bombeiro,Bombeiro,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b14,,,Cabelereiro(a),Cabelereiro(a),Cabelereiro(a),Cabelereiro(a),Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b15,,,Caçador,Caçador,Caçador,Caçador,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b16,,,Camionista,Camionista,Camionista,Camionista,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b17,,,Canalizador,Canalizador,Canalizador,Canalizador,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b18,,,Carpinteiro,Carpinteiro,Carpinteiro,Carpinteiro,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b19,,,Comerciante,Comerciante,Comerciante,Comerciante,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b20,,,Conselheiro(a),Conselheiro(a),Conselheiro(a),Conselheiro(a),Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b21,,,Contabilista,Contabilista,Contabilista,Contabilista,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b22,,,Cortador de peixe,Cortador de peixe,Cortador de peixe,Cortador de peixe,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b23,,,Costureiro(a),Costureiro(a),Costureiro(a),Costureiro(a),Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b24,,,Cozinheiro(a),Cozinheiro(a),Cozinheiro(a),Cozinheiro(a),Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b25,,,Criador de Gado,Criador de Gado,Criador de Gado,Criador de Gado,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b26,,,Desportista,Desportista,Desportista,Desportista,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b27,,,Doméstico,Doméstico,Doméstico,Doméstico,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b28,,,Electricista,Electricista,Electricista,Electricista,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b29,,,Empregado Doméstico,Empregado Doméstico,Empregado Doméstico,Empregado Doméstico,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b30,,,Enfermeiro,Enfermeiro,Enfermeiro,Enfermeiro,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b31,,,Engenheiro,Engenheiro,Engenheiro,Engenheiro,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b32,,,Estatícista,Estatícista,Estatícista,Estatícista,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b33,,,Esteticista,Esteticista,Esteticista,Esteticista,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b34,,,Estivador,Estivador,Estivador,Estivador,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b35,,,Estudante,Estudante,Estudante,Estudante,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b36,,,Estufador,Estufador,Estufador,Estufador,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b37,,,Fabricante,Fabricante,Fabricante,Fabricante,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b38,,,Farmaceutico,Farmaceutico,Farmaceutico,Farmaceutico,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b39,,,Garimpeiro,Garimpeiro,Garimpeiro,Garimpeiro,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b40,,,Geógrafo,Geógrafo,Geógrafo,Geógrafo,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b41,,,Gestor,Gestor,Gestor,Gestor,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b42,,,Informático,Informático,Informático,Informático,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b43,,,Investigador,Investigador,Investigador,Investigador,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b44,,,Jardineiro,Jardineiro,Jardineiro,Jardineiro,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b45,,,Leiteiro,Leiteiro,Leiteiro,Leiteiro,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b46,,,Lixeiro,Lixeiro,Lixeiro,Lixeiro,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b47,,,Marceneiro,Marceneiro,Marceneiro,Marceneiro,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b48,,,Mecânico,Mecânico,Mecânico,Mecânico,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b49,,,Médico,Médico,Médico,Médico,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b50,,,Médico Tradicional,Médico Tradicional,Médico Tradicional,Médico Tradicional,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b51,,,Militar,Militar,Militar,Militar,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b52,,,Mineiro,Mineiro,Mineiro,Mineiro,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b53,,,Motorista,Motorista,Motorista,Motorista,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b54,,,Operário,Operário,Operário,Operário,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b55,,,Padre,Padre,Padre,Padre,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b56,,,Pastor,Pastor,Pastor,Pastor,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b57,,,Pastor de Gado,Pastor de Gado,Pastor de Gado,Pastor de Gado,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b58,,,Pedreiro,Pedreiro,Pedreiro,Pedreiro,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b59,,,Pescador,Pescador,Pescador,Pescador,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b60,,,Piloto,Piloto,Piloto,Piloto,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b61,,,Polícia,Polícia,Polícia,Polícia,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b62,,,Politicólogo,Politicólogo,Politicólogo,Politicólogo,Misc,Text,
c36bc411-3f10-11e4-adec-0800271c1b63,,,Porteiro,Porteiro,Porteiro,Porteiro,Misc,Text,
