Uuid,Void/Retire,Name,Description,Format,Foreign uuid,Searchable,_order:1000
99b8eb2c-7012-11e9-a923-1681be663d3e,,BI,BI,java.lang.String,,,
99b8ee88-7012-11e9-a923-1681be663d3e,,NUIT,NUIT,java.lang.String,,,
99b8f004-7012-11e9-a923-1681be663d3e,,NUIC,NUIC,java.lang.String,,,
99b8f37e-7012-11e9-a923-1681be663d3e,,Cedula_de_Nascimento,Cedula de Nascimento,java.lang.String,,,
99b8f4e6-7012-11e9-a923-1681be663d3e,,Cartao_de_Eleitor,Cartao de Eleitor,java.lang.String,,,
99b8f626-7012-11e9-a923-1681be663d3e,,DIRE,DIRE,java.lang.String,,,
99b8f75c-7012-11e9-a923-1681be663d3e,,Passaporte_Mocambicano,Passaporte Mocambicano,java.lang.String,,,
99b8f89c-7012-11e9-a923-1681be663d3e,,Passaporte_Estrangeiro,Passaporte Estrangeiro,java.lang.String,,,
abbf7cbe-7017-11e9-a923-1681be663d3e,,NATIONALITY,REGISTRATION_LABEL_NATIONALITY ,org.openmrs.Concept,f1975b92-700f-11e9-a923-1681be663d3e,,

